Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
0,"0","9.7444","-0.0198","0.0808","202.3609",
1,"0.071","9.7923","-0.0581","0.1526","202.3351",
2,"0.168","9.7348","-0.0293","0.167","202.3187",
3,"0.174","9.7396","-0.0533","-0.0102","202.4074",
4,"0.179","9.6726","-0.0724","-0.015","202.4961",
5,"0.273","9.8067","-0.1012","0.1095","202.3909",
6,"0.293","9.7779","-0.0437","0.1383","202.3119",
7,"0.362","9.7444","-0.1012","0.1814","202.2866",
8,"0.45","9.6965","-0.0533","0.0233","202.5243",
9,"0.456","9.7779","-0.0676","0.0186","202.2707",
10,"0.542","9.7396","-0.0102","0.1957","202.4202",
11,"0.549","9.7827","-0.0389","0.2388","202.5074",
12,"0.556","9.8162","-0.0437","0.1095","202.2549",
13,"0.659","9.754","-0.1826","-0.0054","202.2393",
14,"0.661","9.7588","-0.0437","0.0425","202.2827",
15,"0.669","9.6869","-0.0581","-0.015","202.3695",
16,"0.746","9.7683","-0.0772","0.2867","202.4309",
17,"0.752","9.73","-0.0724","0.2197","202.4741",
18,"0.756","9.7588","-0.1203","0.0808","202.2671",
19,"0.837","9.7636","-0.1826","0.0952","202.3716",
20,"0.921","9.7923","-0.1012","0.1095","202.5184",
21,"1.007","9.7396","-0.0868","0.2628","202.3308",
22,"1.013","9.7779","-0.1443","0.2867","202.4163",
23,"1.092","9.7205","-0.0006","0.0856","202.23",
24,"1.094","9.754","-0.0581","0.0856","202.2726",
25,"1.102","9.7779","-0.0245","0.1143","202.3152",
26,"1.106","9.6822","-0.1203","-0.0245","202.4003",
27,"1.179","9.754","-0.1299","0.0856","202.3756",
28,"1.181","9.7588","-0.0054","0.1047","202.4605",
29,"1.188","9.754","-0.1012","-0.0293","202.503",
30,"1.262","9.8019","-0.0485","0.167","202.2753",
31,"1.267","9.7636","-0.2065","0.1861","202.3176",
32,"1.274","9.8114","-0.0341","0.0473","202.4022",
33,"1.35","9.8114","-0.149","0.0712","202.4619",
34,"1.358","9.7683","-0.0485","0.0856","202.2601",
35,"1.437","9.8019","-0.0437","0.2628","202.32",
36,"1.443","9.7636","-0.1059","0.1335","202.4039",
37,"1.525","9.754","-0.0676","0.2484","202.4633",
38,"1.532","9.8258","-0.0389","0.0904","202.2629",
39,"1.635","9.7875","-0.0245","0.1526","202.2895",
40,"1.637","9.7971","-0.0964","-0.0198","202.3311",
41,"1.721","9.8019","-0.0868","0.1766","202.4316",
42,"1.73","9.754","0.0186","0.1718","202.233",
43,"1.812","9.8354","-0.0676","0.2149","202.3747",
44,"1.822","9.7779","-0.173","0.0473","202.4574",
45,"1.827","9.7875","-0.1059","0.0521","202.5401",
46,"1.903","9.6774","-0.0293","0.1814","202.2771",
47,"1.906","9.7444","0.1383","0.2053","202.3183",
48,"1.993","9.7971","0.0138","-0.1873","202.4588",
49,"2.103","9.6774","0.0186","0.0042","202.2884",
50,"2.115","9.7109","0.0712","-0.0533","202.4108",
51,"2.125","9.7157","-0.0772","-0.1443","202.4517",
52,"2.128","9.5529","-0.0437","-0.2783","202.4925",
53,"2.222","9.2943","-0.1347","0.574","202.4362",
54,"2.229","9.1746","0.0521","0.7416","202.5176",
55,"2.328","7.8721","-0.082","-0.3118","202.34",
56,"2.329","-0.067","0.7368","-0.2544","202.5019",
57,"2.368","-9.8641","-1.145","4.8836","202.2762",
58,"2.376","10.1035","-19.6133","19.6127","202.3166",
59,"2.388","-1.7957","-4.8369","-8.3085","202.3974",
60,"2.473","-0.431","0.1","11.2809","202.2616",
61,"2.474","-0.2921","0.2628","12.569","202.3421",
62,"2.568","-0.1389","-0.0485","10.2274","202.2072",
63,"2.569","-0.067","0.0233","10.1412","202.2873",
64,"2.577","-0.2825","0.0281","9.9353","202.3273",
65,"2.582","-0.1963","-0.0102","9.8539","202.3674",
66,"2.676","-0.1293","0.0377","9.9736","202.3127",
67,"2.679","-0.0527","0.0281","10.1029","202.3526",
68,"2.771","-0.0096","0.0042","9.8683","202.2584",
69,"2.776","-0.0622","0.0808","9.9689","202.3379",
70,"2.782","0.0048","-0.0341","10.0694","202.3776",
71,"2.797","-0.1628","-0.0437","10.1029","202.4571",
72,"2.798","-0.0766","-0.0198","9.9258","202.4968",
73,"2.893","-0.0287","0.1335","9.9689","202.1254",
74,"2.893","-0.1006","-0.1059","9.9689","202.4421",
75,"2.9","0.1149","-0.0054","9.988","202.4816",
76,"2.984","-0.0958","0.0377","9.9497","202.3483",
77,"2.991","-0.0622","-0.0006","9.9593","202.3877",
78,"2.994","-0.0144","0.0856","10.0503","202.4666",
79,"3.091","-0.0766","0.076","10.0024","202.3731",
80,"3.098","-0.1245","0.0138","9.897","202.4909",
81,"3.191","-0.0239","-0.0437","10.1077","202.3977",
82,"3.193","-0.0958","-0.0054","9.8204","202.4368",
83,"3.197","-0.1772","-0.0102","9.8396","202.4759",
84,"3.206","-0.1149","0.0042","10.0838","202.2496",
85,"3.217","-0.0862","-0.0054","10.0407","202.3277",
86,"3.293","-0.067","-0.0581","9.9736","202.4221",
87,"3.295","-0.0527","-0.0006","9.8922","202.461",
88,"3.307","-0.0287","0.009","10.0407","202.2745",
89,"3.317","0.0383","0.0569","9.988","202.3134",
90,"3.402","0.0287","0.076","9.9258","202.485",
91,"3.407","-0.1149","0.0042","10.055","202.2605",
92,"3.411","-0.0814","-0.0006","9.9018","202.2993",
93,"3.416","-0.0383","0.1287","9.897","202.338",
94,"3.494","-0.0096","0.0856","10.0024","202.4316",
95,"3.498","-0.0527","0.0856","9.9066","202.4703",
96,"3.59","-0.0718","-0.0054","9.9689","202.3786",
97,"3.592","-0.0527","-0.0485","9.9689","202.4171",
98,"3.599","-0.1053","0.0664","10.0359","202.4556",
99,"3.683","-0.0287","0.0856","10.1125","202.3259",
100,"3.694","0.0431","0.0856","10.5339","202.4026",
101,"3.764","0.0192","0.0425","9.9641","202.4568",
102,"3.845","-0.1101","0.0808","10.0838","202.2899",
103,"3.852","-0.0335","0.0712","10.1317","202.328",
104,"3.948","-0.0527","0.0186","9.9928","202.3141",
105,"3.956","-0.0862","0.0617","9.9976","202.3521",
106,"4.037","-0.1149","-0.0389","10.0407","202.4816",
107,"4.041","-0.0622","0.0281","9.8683","202.5195",
108,"4.047","-0.1053","0.0521","9.9545","202.3003",
109,"4.052","-0.0575","-0.0245","10.1029","202.3381",
110,"4.129","-0.0383","0.1239","9.921","202.3917",
111,"4.132","-0.0431","0.0664","9.9497","202.4294",
112,"4.217","-0.1245","0.0473","9.9258","202.2649",
113,"4.218","-0.0383","0.1047","10.0455","202.3025",
114,"4.222","-0.0239","0.0521","10.0503","202.3401",
115,"4.227","0.0239","-0.0054","9.6959","202.3777",
116,"4.232","-0.0048","-0.0245","9.8922","202.4153",
117,"4.236","0.0048","0.0425","9.9641","202.4529",
118,"4.317","-0.0479","0.0186","9.8444","202.2889",
119,"4.413","-0.0048","-0.015","10.0359","202.238",
120,"4.501","-0.0479","0.0042","9.9018","202.44",
121,"4.596","0.0335","-0.0437","9.9928","202.3889",
122,"4.603","-0.1149","0.0042","10.0167","202.426",
123,"4.688","-0.0096","0.0377","9.9928","202.3013",
124,"4.78","-0.0239","0.0377","9.921","202.5011",
125,"4.788","-0.0048","-0.0293","10.0167","202.3246",
126,"4.891","-0.0048","0.0281","10.012","202.3845",
127,"4.906","-0.0527","0.0281","9.9545","202.4212",
128,"5.014","-0.067","-0.0006","9.9976","202.4805",
129,"5.021","-0.0862","-0.0389","9.8204","202.3056",
130,"5.107","-0.0335","0.0521","9.9593","202.4302",
131,"5.198","-0.0383","-0.0198","10.0263","202.3802",
132,"5.205","-0.0814","0.0952","10.0359","202.4165",
133,"5.302","-0.1101","-0.0293","10.1173","202.4029",
134,"5.399","-0.0431","-0.0102","10.0024","202.3895",
135,"5.406","-0.0814","-0.0102","10.0024","202.4254",
136,"5.5","-0.0575","0.0186","9.897","202.3761",
137,"5.505","-0.0431","0.0808","9.9353","202.4119",
138,"5.595","-0.0192","-0.0245","9.9736","202.327",
139,"5.599","-0.0192","-0.0198","10.0024","202.3628",
140,"5.605","-0.0958","0.0281","9.9018","202.3985",
141,"5.689","-0.0814","0.0521","9.9689","202.314",
142,"5.778","-0.0575","0.0233","9.7151","202.4711",
143,"5.789","-0.0096","0.0617","9.9641","202.2655",
144,"5.881","-0.0144","-0.0102","10.0934","202.4576",
145,"5.889","-0.0431","0.0233","9.9641","202.2881",
146,"5.983","-0.0718","0.0617","9.9353","202.4794",
147,"5.991","-0.0192","-0.0198","9.9928","202.2753",
148,"6.1","-0.0335","0.009","10.0024","202.3328",
149,"6.202","-0.0431","-0.0245","10.012","202.3899",
150,"6.295","0.0239","0.009","9.9593","202.2724",
151,"6.401","-0.1006","-0.0437","10.0024","202.3293",
152,"6.405","-0.0335","0.0808","10.0359","202.364",
153,"6.411","-0.0335","0.0664","10.055","202.3988",
154,"6.522","-0.0192","0.0233","9.9545","202.3512",
155,"7.073","-0.0527","-0.0102","9.9401","198.4672",
156,"7.084","-0.067","0.0473","10.0359","199.146",
157,"7.278","-0.1915","-0.0054","10.0886","198.5361",
158,"7.384","0.0239","0.0473","10.1077","198.6037",
159,"7.501","-0.0958","0.0233","9.8683","199.2173",
160,"7.584","-0.0718","0.009","9.9018","201.0739",
161,"7.671","-0.0862","-0.0245","10.0263","202.2633",
162,"7.674","-0.1437","-0.0054","9.7869","202.3298",
163,"7.682","-0.0862","0.0856","10.0359","202.3631",
164,"7.758","-0.067","0.0664","9.9832","202.4102",
165,"7.765","-0.0527","0.0712","9.8635","202.4766",
166,"7.859","-0.0527","0.0521","10.0407","202.4309",
167,"7.864","-0.0622","-0.0054","9.9258","202.4639",
168,"7.952","-0.067","0.0377","9.9258","202.4184",
169,"7.963","-0.0814","0.0425","9.8108","202.4514",
170,"8.038","-0.067","0.0425","9.9832","202.2746",
171,"8.047","0.0144","-0.015","10.0263","202.3403",
172,"8.132","-0.1053","0.0138","9.9114","202.4525",
173,"8.235","-0.0862","0.0377","10.0215","202.4728",
174,"8.246","-0.0622","0.0473","9.9736","202.349",
175,"8.257","-0.0383","0.0233","9.9593","202.3816",
176,"8.324","-0.0096","0.0042","10.0215","202.4604",
177,"8.438","-0.1245","0.009","10.0263","202.2602",
178,"8.528","0","0.0473","9.9162","202.4358",
179,"8.617","-0.0814","0.0042","9.9353","202.3268",
180,"8.705","-0.0527","0.1095","9.9976","202.2507",
181,"8.714","-0.1389","-0.0102","10.0359","202.315",
182,"8.719","-0.0622","0.0233","9.988","202.3472",
183,"8.795","-0.0527","0.0569","9.9928","202.3927",
184,"8.803","-0.0718","-0.0437","10.0838","202.4248",
185,"8.893","-0.1628","0.009","9.9497","202.4128",
186,"8.903","-0.0766","0.1191","9.988","202.4447",
187,"8.979","-0.1006","-0.0341","10.0359","202.3052",
188,"8.986","-0.067","0.0233","9.9401","202.3371",
189,"9.067","-0.0958","0.0042","9.9258","202.4141",
190,"9.159","-0.0575","-0.0581","9.9928","202.3387",
191,"9.164","-0.1341","0.0281","10.0981","202.4022",
192,"9.169","0.0048","0.076","10.1412","202.4339",
193,"9.25","-0.1437","0.076","9.9353","202.3271",
194,"9.259","-0.0431","0.0042","9.9976","202.3587",
195,"9.368","-0.0335","-0.0054","9.9832","202.4101",
196,"9.374","-0.0239","0.0186","10.0598","202.4416",
197,"9.457","-0.1101","0.0042","9.8779","202.3355",
198,"9.469","-0.0048","-0.015","9.9162","202.3983",
199,"9.475","0.0144","0.009","9.9497","202.4297",
200,"9.555","-0.1053","-0.1107","10.0215","202.324",
201,"9.646","-0.0958","-0.0006","9.9976","202.4621",
202,"9.649","-0.0527","0.0569","9.988","202.2813",
203,"9.656","-0.0622","0.0186","9.9258","202.3437",
204,"9.736","-0.1053","-0.0293","9.9401","202.388",
205,"9.833","-0.1006","0.0281","9.9306","202.4074",
206,"9.845","-0.1053","-0.0054","9.988","202.4385",
207,"9.927","-0.0144","0.0233","9.9736","202.3649",
208,"9.947","-0.0335","0.0042","9.9832","202.4577",
