Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
0,"0","9.7731","-0.0581","-0.4842","203.6727",
1,"0","9.7252","-0.1251","-0.015","203.814",
2,"0.057","9.7923","-0.1107","0.0281","202.0401",
3,"0.058","9.7492","-0.1059","0.3298","202.32",
4,"0.058","9.7636","-0.0581","0.4687","202.7397",
5,"0.059","9.7779","-0.0916","0.4687","202.8797",
6,"0.059","9.7157","-0.0437","0.3298","203.0196",
7,"0.059","9.7492","-0.0389","0.2723","203.1595",
8,"0.06","9.7252","-0.0485","0.1431","203.4393",
9,"0.066","9.7779","0.009","-0.1251","203.7192",
10,"0.067","9.7348","-0.0916","-0.173","203.8591",
11,"0.084","9.754","-0.015","-0.0944","203.185",
12,"0.084","9.663","-0.1682","-0.4028","203.4635",
13,"0.209","9.7923","-0.0389","-0.0947","200.0037",
14,"0.209","9.7205","-0.0245","-0.0628","200.1404",
15,"0.209","9.7971","-0.0198","0.0473","200.2771",
16,"0.21","9.6917","-0.082","0.0856","200.5505",
17,"0.21","9.8306","-0.082","0.2819","200.8239",
18,"0.211","9.7779","-0.0245","0.2197","200.9606",
19,"0.211","9.7827","-0.0245","0.2388","201.0973",
20,"0.211","9.8354","-0.1347","0.1191","201.3707",
21,"0.212","9.7492","-0.0341","0.0281","201.6441",
22,"0.212","9.7827","-0.0437","0.0138","201.7809",
23,"0.213","9.754","-0.0389","-0.0628","202.0543",
24,"0.213","9.7683","0.0042","-0.0437","202.3277",
25,"0.214","9.6965","-0.0868","-0.0054","202.4644",
26,"0.214","9.7492","-0.1395","0.1431","202.7378",
27,"0.215","9.7157","-0.149","0.2771","203.1479",
28,"0.215","9.7013","-0.173","0.0186","203.2847",
29,"0.23","9.6869","-0.1395","0.0952","203.4214",
30,"0.231","9.7348","-0.0724","0.0569","203.6948",
31,"0.292","9.7971","-0.1299","0.0904","202.1139",
32,"0.292","9.6726","-0.0437","0.0473","202.5203",
33,"0.293","9.8258","-0.149","0.1622","202.6558",
34,"0.293","9.7923","-0.0341","-0.0341","202.9267",
35,"0.294","9.6917","0.0281","0.0425","203.0622",
36,"0.294","9.7396","-0.0293","0.0473","203.3331",
37,"0.295","9.7971","-0.0533","0.2101","203.604",
38,"0.298","9.7444","-0.1107","-0.0464","203.7395",
39,"0.366","9.7971","-0.1203","0.0664","202.0383",
40,"0.366","9.7923","-0.0581","0.167","202.3068",
41,"0.368","9.7636","-0.0628","0.0425","202.978",
42,"0.369","9.7109","-0.0916","0.1814","203.1122",
43,"0.369","9.754","-0.0676","0.1431","203.3807",
44,"0.37","9.7444","-0.0389","0.349","203.6492",
45,"0.37","9.7396","-0.1059","0.3394","203.9177",
46,"0.376","9.7731","-0.1251","0.3681","203.1369",
47,"0.382","9.7779","-0.082","0.4543","203.4042",
48,"0.441","9.7492","-0.015","0.2436","201.8611",
49,"0.441","9.7013","0.3585","0.483","201.9935",
50,"0.442","9.6965","0.0664","0.5549","202.2584",
51,"0.442","9.7252","-0.2257","0.5261","202.5233",
52,"0.443","9.7205","-0.3358","0.2676","202.7883",
53,"0.444","9.7013","-0.3837","0.1478","203.0532",
54,"0.444","9.7683","-0.2879","-0.1586","203.1856",
55,"0.454","9.7535","-0.0729","0.0105","203.3181",
56,"0.524","9.6678","-0.0341","0.0111","201.7893",
57,"0.525","9.73","-0.0198","0.2436","202.0519",
58,"0.525","9.7731","-0.0437","0.3011","202.1832",
59,"0.526","9.8162","-0.1012","0.2149","202.3144",
60,"0.526","9.7444","-0.0581","0.2197","202.4457",
61,"0.527","9.7444","0.0186","0.234","202.577",
62,"0.527","9.7683","-0.0772","0.1431","202.7083",
63,"0.529","9.663","-0.0389","0.2053","202.9709",
64,"0.53","9.8162","-0.0964","0.0473","203.2335",
65,"0.53","9.7205","-0.0916","0.0281","203.496",
66,"0.531","9.7636","-0.0964","0.076","203.6273",
67,"0.607","9.8258","-0.0054","0.2867","202.1092",
68,"0.607","9.8162","-0.1203","0.6075","202.2393",
69,"0.608","9.8497","-0.0054","0.5405","201.6192",
70,"0.608","9.7827","-0.0102","0.5118","201.8783",
71,"0.609","9.73","-0.0676","0.5022","202.1375",
72,"0.609","9.7013","-0.0389","0.325","202.3966",
73,"0.61","9.7252","-0.0916","0.2436","202.7854",
74,"0.61","9.7492","-0.082","0.1574","203.0445",
75,"0.621","9.7552","-0.0735","0.0725","203.3037",
76,"0.687","9.73","-0.0772","0.1766","201.6795",
77,"0.687","9.7348","-0.1059","0.2963","201.808",
78,"0.688","9.7444","-0.0628","0.5405","202.0649",
79,"0.688","9.7348","-0.0724","0.3537","202.1933",
80,"0.689","9.7683","-0.0341","0.2628","202.3218",
81,"0.692","9.7109","-0.015","0.1526","202.5787",
82,"0.692","9.7731","-0.0868","0.2963","202.7072",
83,"0.693","9.6917","-0.0006","0.325","202.9641",
84,"0.694","9.8258","0.0233","0.2867","203.221",
85,"0.694","9.754","-0.1107","0.0521","203.3495",
86,"0.699","9.7549","-0.0723","0.1003","203.6064",
87,"0.704","9.7548","-0.0727","0.1019","203.7348",
88,"0.782","9.7252","-0.0102","0.3921","202.2753",
89,"0.783","9.8402","-0.0628","0.2628","202.6558",
90,"0.784","9.7875","-0.0772","0.2819","202.9094",
91,"0.785","9.755","-0.0719","0.1356","203.1631",
92,"0.79","9.7636","-0.1059","0.137","203.4167",
93,"0.796","9.8402","-0.0716","0.139","203.5435",
94,"0.802","9.7396","0.0042","0.4256","203.7971",
95,"0.867","9.7827","-0.0964","0.5501","202.3289",
96,"0.868","9.7444","-0.0868","0.3968","202.8318",
97,"0.869","9.7875","-0.0916","0.009","203.0833",
98,"0.87","9.73","0.0138","-0.015","203.5863",
99,"0.871","9.7556","-0.071","0.162","203.7121",
100,"0.88","9.7557","-0.0868","0.4782","203.1066",
101,"0.943","9.7923","-0.1107","0.7129","201.7866",
102,"0.946","9.73","-0.1634","0.2101","202.78",
103,"0.951","9.7581","-0.0702","0.2175","203.1525",
104,"1.027","9.7563","-0.0712","0.2233","203.3208",
105,"1.053","9.7573","-0.0705","0.2409","203.8134",
106,"1.12","9.7568","-0.015","0.4208","201.6827",
107,"1.121","9.6678","-0.1778","0.1861","201.9259",
108,"1.122","9.7492","-0.1107","0.2149","202.2909",
109,"1.123","9.8019","-0.1251","0.2053","202.7774",
110,"1.124","9.7588","-0.0736","0.2566","203.3857",
111,"1.141","9.7571","-0.0341","0.2676","203.6289",
112,"1.217","9.7827","-0.0724","0.2655","201.5262",
113,"1.218","9.7875","-0.0724","0.3921","201.7665",
114,"1.218","9.7396","-0.1059","0.1622","201.8867",
115,"1.219","9.754","-0.0868","0.2688","202.2472",
116,"1.219","9.7157","-0.0628","0.3825","202.4876",
117,"1.219","9.7588","-0.1538","0.2703","202.7279",
118,"1.22","9.754","-0.0341","0.7272","202.9682",
119,"1.22","9.8306","-0.0772","0.665","203.2086",
120,"1.229","9.7563","-0.0749","0.2888","203.3288",
121,"1.234","9.7563","-0.0743","0.2937","203.5691",
122,"1.297","9.6247","-0.0437","0.2053","202.775",
123,"1.299","9.7779","-0.0715","0.3032","203.371",
124,"1.441","9.7779","-0.0293","0.8948","202.7496",
125,"1.443","9.754","-0.0697","0.365","203.571",
126,"1.458","9.7552","-0.0767","0.3647","203.2401",
127,"1.466","9.7557","-0.0761","0.3656","203.357",
128,"1.481","9.7561","-0.0738","0.37","203.5908",
129,"1.575","9.7348","-0.0724","0.8853","201.6855",
130,"1.577","9.754","-0.0581","0.0808","202.3786",
131,"1.581","9.7348","-0.0868","0.6602","202.2876",
132,"1.582","9.8162","-0.0533","0.8853","202.978",
133,"1.587","9.755","-0.0684","0.4233","203.093",
134,"1.669","9.8114","-0.0868","0.3011","202.2219",
135,"1.67","9.8785","0.009","0.4222","203.0212",
136,"1.672","9.7557","-0.0667","0.4335","203.3637",
137,"1.681","9.6917","-0.0667","0.441","202.9288",
138,"1.691","9.7557","-0.0665","0.443","203.1563",
139,"1.698","9.7552","-0.0668","0.4441","203.2701",
140,"1.701","9.7558","-0.0673","0.4455","203.3838",
141,"1.707","9.6726","-0.0581","0.4064","203.6113",
142,"1.714","9.7492","-0.1203","0.4471","203.7251",
143,"1.718","9.7549","-0.0687","0.4476","203.0637",
144,"1.759","9.7731","0.009","0.4447","202.9719",
145,"1.77","9.7547","-0.0672","0.459","203.4234",
146,"1.801","9.7545","-0.0666","0.4633","203.1056",
147,"1.875","9.6534","-0.0868","0.3921","202.1423",
148,"1.877","9.73","-0.0676","0.3346","202.3656",
149,"1.879","9.8162","-0.0916","0.7799","203.0353",
150,"1.881","9.7525","-0.0656","0.4806","203.4818",
151,"1.883","9.7518","-0.0652","0.4828","202.9449",
152,"1.888","9.7513","-0.0653","0.4845","203.0561",
153,"1.964","9.7474","-0.0675","0.486","203.2077",
154,"1.981","9.747","-0.0683","0.4881","203.4285",
155,"2.054","9.6965","-0.0772","0.6075","202.9396",
156,"2.069","9.7473","-0.0668","0.5023","203.1579",
157,"2.071","9.7475","-0.0672","0.5041","203.3763",
158,"2.139","9.7875","-0.1395","0.4926","202.7642",
159,"2.141","9.7971","-0.0654","0.5139","203.4144",
160,"2.149","9.7478","-0.065","0.5149","203.5228",
161,"2.153","9.7477","-0.0654","0.5159","202.8933",
162,"2.158","9.7472","-0.0649","0.5179","203.1093",
163,"2.251","9.7875","-0.1538","0.598","201.8867",
164,"2.256","9.7923","-0.0651","0.531","202.9549",
165,"2.261","9.7478","-0.0655","0.5296","203.0617",
166,"2.34","9.7683","-0.0628","0.534","203.3133",
167,"2.349","9.748","-0.0656","0.5332","203.4194",
168,"2.429","9.7469","-0.0669","0.5213","203.0546",
169,"2.432","9.7466","-0.067","0.5203","203.1595",
170,"2.438","9.747","-0.067","0.5156","203.3694",
171,"2.443","9.7474","-0.0673","0.5126","203.4743",
172,"2.518","9.7971","-0.0628","0.5261","202.5724",
173,"2.52","9.7396","-0.0198","0.4543","202.3858",
174,"2.523","9.6965","-0.0485","0.4982","203.0089",
175,"2.532","9.7479","-0.0685","0.4961","203.1127",
176,"2.613","9.7683","-0.0437","0.4639","202.3258",
177,"2.615","9.7205","-0.1251","0.4687","202.7383",
178,"2.618","9.7483","-0.0054","0.4399","203.4601",
179,"2.625","9.7486","-0.0687","0.4837","202.9641",
180,"2.709","9.6534","0.0233","0.4543","202.1863",
181,"2.712","9.7396","-0.0581","0.598","202.9007",
182,"2.716","9.7588","-0.0198","0.4775","203.4111",
183,"2.721","9.7472","-0.0703","0.4739","203.6152",
184,"2.725","9.7474","-0.0708","0.473","203.022",
185,"2.8","9.7472","-0.1012","0.5836","203.1609",
186,"2.808","9.7475","-0.0711","0.4747","203.2619",
187,"2.811","9.747","-0.0711","0.4741","203.363",
188,"2.882","9.7252","-0.0198","0.6363","203.1976",
189,"2.884","9.7475","-0.0728","0.4683","203.4987",
190,"2.891","9.7477","-0.0726","0.4676","202.9158",
191,"2.895","9.7478","-0.0725","0.4658","203.0158",
192,"2.966","9.7061","-0.0533","0.4878","201.9604",
193,"2.968","9.7971","-0.0868","0.4588","202.6558",
194,"2.969","9.7683","-0.0676","0.4447","203.1525",
195,"2.972","9.7493","-0.0724","0.4649","203.2518",
196,"2.977","9.7495","-0.0726","0.4647","203.3512",
197,"3.06","9.7205","-0.0628","0.4639","201.9279",
198,"3.063","9.7875","-0.0437","0.4399","202.4197",
199,"3.066","9.821","-0.0437","0.3681","203.0099",
200,"3.075","9.75","-0.0722","0.4607","203.2066",
201,"3.083","9.7504","-0.0715","0.4605","203.3049",
202,"3.182","9.7683","-0.0724","0.4591","201.8961",
203,"3.185","9.7779","-0.0628","0.5118","202.7727",
204,"3.187","9.7779","-0.1395","0.4528","203.4544",
205,"3.197","9.7508","-0.0739","0.4533","202.9859",
206,"3.286","9.7396","-0.082","0.4687","202.2507",
207,"3.287","9.6774","-0.082","0.3298","202.733",
208,"3.289","9.7396","-0.0676","0.4484","203.5045",
209,"3.375","9.7511","-0.0754","0.4533","203.1716",
210,"3.38","9.7509","-0.0755","0.4537","203.2671",
211,"3.457","9.73","-0.0485","0.3968","202.5419",
212,"3.46","9.7517","-0.1012","0.4304","202.7504",
213,"3.547","9.7396","-0.1107","0.4878","202.1293",
214,"3.549","9.6822","-0.0389","0.325","202.9754",
215,"3.554","9.7528","-0.0728","0.4546","203.3515",
216,"3.651","9.7526","-0.071","0.3442","203.1215",
217,"3.656","9.7519","-0.0711","0.4593","203.4008",
218,"3.662","9.7521","-0.0709","0.4591","202.86",
219,"3.67","9.7513","-0.0709","0.4591","202.9529",
220,"3.742","9.7444","-0.0772","0.4351","203.0802",
221,"3.747","9.7498","-0.0708","0.4597","203.1725",
222,"3.838","9.7157","-0.0676","0.4399","202.6741",
223,"3.841","9.7396","-0.0772","0.5596","202.9483",
224,"3.843","9.752","-0.0708","0.4626","203.1312",
225,"3.934","9.8354","-0.0198","0.4687","202.9094",
226,"3.941","9.7522","-0.0704","0.468","203",
227,"3.944","9.7523","-0.0706","0.4686","203.0906",
228,"3.948","9.7525","-0.0708","0.4691","203.1812",
229,"4.027","9.7515","-0.0709","0.4733","203.3041",
230,"4.036","9.7513","-0.0712","0.476","202.961",
231,"4.11","9.7636","-0.1538","0.4256","202.0134",
232,"4.112","9.7109","-0.1059","0.4752","202.7272",
233,"4.115","9.7504","-0.0713","0.4772","203.1733",
234,"4.218","9.7779","0.0473","0.5309","202.1606",
235,"4.221","9.7492","-0.149","0.3442","202.868",
236,"4.225","9.7494","-0.0714","0.4836","203.3102",
237,"4.233","9.7483","-0.0713","0.4828","202.885",
238,"4.318","9.7252","-0.0437","0.5596","202.2175",
239,"4.32","9.7477","-0.0698","0.4851","202.7434",
240,"4.324","9.7683","-0.0684","0.4902","203.2694",
241,"4.333","9.7476","-0.0685","0.4899","202.8481",
242,"4.412","9.8162","-0.082","0.4304","202.2735",
243,"4.414","9.6726","-0.0676","0.4639","202.8817",
244,"4.418","9.7465","-0.0672","0.4868","203.1423",
245,"4.431","9.7465","-0.0675","0.4866","203.403",
246,"4.435","9.7468","-0.0677","0.4872","202.8984",
247,"4.515","9.6965","-0.0389","0.6746","202.0701",
248,"4.517","9.7466","-0.1443","0.4687","202.4146",
249,"4.521","9.73","-0.0245","0.4913","203.0175",
250,"4.523","9.7468","-0.0678","0.4922","203.1898",
251,"4.527","9.7468","-0.0673","0.4928","203.276",
252,"4.531","9.7466","-0.0673","0.4939","203.3621",
253,"4.535","9.7465","-0.0673","0.4943","202.8619",
