Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
0,"0","9.7588","-0.082","-0.2975","202.6934",
1,"0.051","9.7588","-0.082","-0.3023","202.2634",
2,"0.131","9.7636","-0.015","-0.4411","201.0961",
3,"0.132","9.8306","-0.1443","-0.2304","201.1889",
4,"0.132","9.7923","-0.082","-0.1586","201.3746",
5,"0.133","9.7683","-0.0437","-0.2017","201.4674",
6,"0.133","9.7444","-0.0581","0.009","201.5603",
7,"0.134","9.73","-0.1203","-0.1347","201.6531",
8,"0.134","9.6678","-0.173","-0.1538","201.7459",
9,"0.134","9.7683","-0.0006","-0.1059","201.8388",
10,"0.135","9.7396","-0.0916","-0.1538","201.9316",
11,"0.135","9.8162","-0.0581","-0.0581","202.0245",
12,"0.135","9.7827","-0.1251","-0.2783","202.1173",
13,"0.136","9.7779","-0.0676","-0.3406","202.2102",
14,"0.136","9.7252","-0.0341","-0.2735","202.303",
15,"0.136","9.7061","-0.1012","-0.3166","202.3958",
16,"0.14","9.7588","-0.082","-0.2879","202.6744",
17,"0.15","9.7923","-0.1059","-0.2735","202.1375",
18,"0.15","9.7971","-0.0676","-0.2017","202.23",
19,"0.15","9.6822","-0.0628","-0.2687","202.3226",
20,"0.163","9.7588","-0.082","-0.2831","202.4151",
21,"0.252","9.754","-0.0006","-0.2448","201.372",
22,"0.253","9.8258","-0.1778","-0.1826","201.4637",
23,"0.253","9.754","-0.1395","-0.264","201.6471",
24,"0.254","9.7157","-0.1107","-0.1634","201.7388",
25,"0.254","9.7636","-0.1586","-0.149","201.9222",
26,"0.255","9.7827","-0.0964","-0.0198","202.0139",
27,"0.255","9.7875","-0.173","-0.0772","202.1056",
28,"0.255","9.7779","-0.0341","-0.0628","202.1973",
29,"0.256","9.7109","-0.1203","-0.173","202.289",
30,"0.256","9.7827","-0.0916","-0.0868","202.3807",
31,"0.257","9.8162","-0.1203","-0.1873","202.4724",
32,"0.284","9.8019","-0.0628","-0.2831","202.217",
33,"0.284","9.8019","-0.0868","-0.3071","202.3084",
34,"0.374","9.7923","-0.0533","-0.1921","201.913",
35,"0.379","9.7683","-0.082","-0.264","202.1848",
36,"0.457","9.7971","-0.0245","-0.2017","202.1336",
37,"0.46","9.7779","-0.0676","-0.1012","202.2236",
38,"0.465","9.7636","-0.0772","-0.2496","202.4937",
39,"0.469","9.7636","-0.0772","-0.2448","202.6738",
40,"0.476","9.7636","-0.0772","-0.2448","202.1531",
41,"0.556","9.8689","-0.1299","-0.173","201.3887",
42,"0.557","9.6774","-0.0964","-0.2065","201.478",
43,"0.558","9.8019","-0.1251","-0.24","201.7457",
44,"0.558","9.7683","-0.1107","0.2723","201.8349",
45,"0.559","9.7348","-0.0102","0.1574","202.0134",
46,"0.561","9.7636","-0.0772","-0.2352","202.3703",
47,"0.574","9.7636","-0.0772","-0.2304","202.638",
48,"0.651","9.7636","-0.149","-0.0341","201.3647",
49,"0.653","9.7444","-0.1443","-0.0485","201.7184",
50,"0.654","9.7636","-0.0916","-0.0102","201.9837",
51,"0.655","9.7971","-0.1969","0.0904","202.3374",
52,"0.657","9.7971","-0.1299","0.009","202.4259",
53,"0.666","9.7971","-0.1107","-0.0964","202.5143",
54,"0.757","9.7061","-0.0676","-0.1347","201.1657",
55,"0.758","9.7396","-0.0628","-0.0485","201.2533",
56,"0.758","9.7636","0.0233","-0.1586","201.4286",
57,"0.759","9.8114","-0.1778","0.0042","201.6916",
58,"0.76","9.7923","-0.0485","-0.1586","202.4805",
59,"0.771","9.7683","-0.0772","-0.173","202.5681",
60,"0.774","9.7827","-0.0772","-0.173","202.7434",
61,"0.78","9.7731","-0.149","-0.3214","202.2363",
62,"0.857","9.7731","-0.0437","-0.4028","201.144",
63,"0.858","9.7683","-0.0868","-0.3358","201.3177",
64,"0.858","9.8402","-0.1347","-0.0533","201.4046",
65,"0.858","9.754","-0.1251","0.2053","201.4915",
66,"0.859","9.6965","-0.082","0.2245","201.5784",
67,"0.859","9.754","-0.1012","0.3298","201.7522",
68,"0.86","9.7875","-0.0868","0.1861","201.9259",
69,"0.861","9.8067","-0.0916","0.0521","202.0997",
70,"0.861","9.7875","-0.1395","0.0138","202.1866",
71,"0.862","9.73","-0.0628","0.009","202.3604",
72,"0.873","9.7827","-0.1586","-0.0916","202.5341",
73,"0.874","9.7971","-0.0916","-0.331","202.7079",
74,"0.949","9.7061","-0.1395","-0.1921","201.0365",
75,"0.949","9.7731","-0.0437","-0.2209","201.1226",
76,"0.949","9.8354","-0.1012","-0.0198","201.2087",
77,"0.95","9.7875","-0.0198","-0.0916","201.2949",
78,"0.951","9.7205","-0.0102","0.0569","201.381",
79,"0.951","9.7636","-0.0724","0.0329","201.4671",
80,"0.951","9.8354","-0.0868","0.0712","201.5533",
81,"0.952","9.7827","-0.1107","0.0186","201.6394",
82,"0.952","9.8019","-0.0628","-0.0102","201.8117",
83,"0.953","9.7971","-0.0964","-0.0389","201.8978",
84,"0.954","9.7396","-0.0628","-0.1538","202.0701",
85,"0.955","9.7109","-0.0916","-0.1538","202.2423",
86,"0.963","9.7683","-0.0868","-0.1538","202.4146",
87,"1.041","9.6869","-0.0676","0.0377","201.4226",
88,"1.042","9.7492","-0.0293","0.2771","201.5939",
89,"1.044","9.7875","-0.0437","0.1526","201.8508",
90,"1.044","9.7971","-0.0389","0.0569","201.3578",
91,"1.045","9.8162","-0.1251","-0.082","201.7848",
92,"1.05","9.8497","-0.1107","-0.2735","202.041",
93,"1.053","9.7683","-0.0868","-0.149","202.1263",
94,"1.058","9.7683","-0.0868","-0.1395","202.3825",
95,"1.133","9.7731","-0.0916","0.0856","201.3143",
96,"1.133","9.7731","-0.1107","-0.0293","201.3992",
97,"1.134","9.8019","-0.0389","0.2245","201.4841",
98,"1.134","9.7923","-0.0581","0.0281","201.7388",
99,"1.144","9.7971","-0.082","-0.1873","202.3331",
100,"1.144","9.7875","-0.0724","-0.2927","202.418",
101,"1.261","9.8545","-0.082","-0.2735","200.2212",
102,"1.261","9.7731","-0.0581","-0.0341","200.3891",
103,"1.262","9.7971","-0.0485","-0.1012","200.641",
104,"1.263","9.8067","-0.1395","0.009","200.7249",
105,"1.263","9.7923","0.009","-0.0293","200.8928",
106,"1.268","9.7731","-0.0868","-0.0868","201.3126",
107,"1.393","9.8306","-0.0724","0.1335","199.1526",
108,"1.394","9.8067","0.0042","-0.0628","199.2356",
109,"1.394","9.6582","-0.1538","-0.1251","199.3186",
110,"1.395","9.6917","-0.0198","-0.264","199.4016",
111,"1.395","9.8545","-0.0437","-0.2113","199.4846",
112,"1.396","9.8258","-0.1634","-0.2927","199.5676",
113,"1.396","9.7444","-0.082","-0.173","199.6507",
114,"1.397","9.7923","-0.0533","-0.1395","199.8997",
115,"1.4","9.6917","-0.0389","0.1718","200.0657",
116,"1.401","9.7348","-0.0724","-0.0724","200.3148",
117,"1.718","9.7779","-0.1012","0.0664","194.967",
118,"1.719","9.8019","-0.1107","-0.3118","195.2093",
119,"1.732","9.7061","-0.0676","0.1335","196.5015",
120,"1.742","9.821","-0.0916","-0.0293","196.7438",
121,"1.972","9.7205","-0.1538","-0.0102","194.2699",
122,"1.976","9.7875","-0.1586","0.234","194.7455",
123,"2.343","9.7827","-0.0628","-0.0964","189.7492",
124,"2.349","9.8402","-0.1251","0.0042","190.1342",
125,"2.355","9.7683","-0.0628","-0.1251","189.9514",
126,"2.358","9.7588","-0.0198","-0.2304","190.2587",
127,"2.579","9.7588","-0.0868","-0.082","187.6639",
