Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
0,"0","9.7157","-0.0964","-0.3071","177.3264",
1,"0.064","9.7061","-0.0485","-0.5561","177.8938",
2,"0.218","9.73","-0.0198","-0.5465","178.6619",
3,"0.218","9.7157","-0.0724","-0.4747","180.892",
4,"0.321","9.7588","-0.0724","-0.5896","181.9404",
5,"0.323","9.7444","-0.0198","-0.6806","183.5541",
6,"0.443","9.7013","-0.0485","-0.6327","184.574",
7,"0.454","9.6965","-0.0916","-0.3454","185.4756",
8,"0.454","9.6965","-0.0916","-0.3454","185.5257",
9,"0.457","9.7875","-0.0581","-0.6279","185.7261",
10,"0.535","9.754","-0.1203","-0.4124","186.252",
11,"0.54","9.7779","-0.0628","-0.5608","187.3503",
12,"0.642","9.7013","-0.0772","-0.398","188.3844",
13,"0.663","9.7875","-0.0389","-0.5561","189.5249",
14,"0.759","9.7252","-0.0437","-0.58","190.804",
15,"0.769","9.6822","-0.082","-0.58","191.9388",
16,"0.854","9.7252","-0.0485","-0.5082","191.4811",
17,"0.855","9.754","-0.0006","-0.5321","192.1194",
18,"0.98","9.7444","-0.1012","-0.4651","194.1785",
19,"1.07","9.7731","-0.1395","-0.6662","195.7327",
20,"1.164","9.7444","-0.0916","-0.5656","198.1177",
21,"1.265","9.8545","-0.0772","-0.4747","199.6611",
22,"1.268","9.7252","-0.0245","-0.4268","199.7574",
23,"1.362","9.7396","-0.0772","-0.6327","199.7043",
24,"1.368","9.6438","-0.173","-0.58","199.7522",
25,"1.374","9.7157","-0.0581","-0.6614","199.8001",
26,"1.454","9.7013","-0.0581","-0.4794","199.604",
27,"1.459","9.7588","-0.1347","-0.7236","199.6517",
28,"1.555","9.8019","-0.0102","-0.3693","199.5996",
29,"1.557","9.6391","-0.0628","-0.4028","199.6471",
30,"1.644","9.6582","-0.1299","-0.4028","199.8175",
31,"1.645","9.7013","-0.1586","-0.3071","199.8648",
32,"1.652","9.8354","-0.1203","-0.4316","199.5953",
33,"1.658","9.73","-0.0437","-0.3837","199.6897",
34,"1.734","9.7827","0.0521","-0.4794","199.765",
35,"1.738","9.7348","-0.1778","-0.2975","199.8121",
36,"1.749","9.7396","-0.0581","-0.3789","199.5439",
37,"1.814","9.6965","-0.0724","-0.4124","199.8868",
38,"1.826","9.7109","-0.0581","-0.4747","199.6662",
39,"1.915","9.7683","-0.0341","-0.4363","199.8811",
40,"1.918","9.7779","-0.1251","-0.5225","199.6149",
41,"1.925","9.7396","-0.0628","-0.4938","199.7082",
42,"2.007","9.7971","-0.0389","-0.3549","199.7825",
43,"2.008","9.6391","-0.0724","-0.398","199.829",
44,"2.022","9.663","-0.0437","-0.4938","199.6106",
45,"2.093","9.7492","-0.1826","-0.5369","199.7311",
46,"2.11","9.8067","-0.0581","-0.3789","199.8699",
47,"2.196","9.7109","-0.0772","-0.6135","199.7723",
48,"2.203","9.7827","-0.0724","-0.5752","199.8184",
49,"2.209","9.7971","-0.0293","-0.5369","199.8644",
50,"2.288","9.7061","-0.173","-0.5273","199.6297",
51,"2.29","9.6726","-0.0293","-0.3454","199.7214",
52,"2.382","9.7396","-0.0006","-0.4747","199.9315",
53,"2.388","9.7205","-0.0868","-0.4507","199.671",
54,"2.394","9.754","-0.1059","-0.4651","199.7623",
55,"2.475","9.6869","-0.1107","-0.3932","199.8803",
56,"2.566","9.7827","-0.0198","-0.5752","199.6484",
57,"2.575","9.7348","-0.1107","-0.4363","199.8748",
58,"2.585","9.8593","-0.0581","-0.3502","199.9202",
59,"2.654","9.8833","0.0233","-0.422","199.9465",
60,"2.657","9.7109","-0.0293","-0.3837","199.7342",
61,"2.748","9.7636","-0.0054","-0.3454","199.9408",
62,"2.754","9.7444","-0.0916","-0.4028","199.9857",
63,"2.76","9.754","-0.0868","-0.5561","199.7743",
64,"2.839","9.7779","-0.1395","-0.6949","199.8456",
65,"2.845","9.7779","-0.015","-0.5082","199.9351",
66,"2.939","9.7205","-0.0772","-0.4363","199.8404",
67,"2.942","9.7157","-0.0772","-0.4794","199.8849",
68,"3.041","9.8067","-0.0964","-0.5273","199.8796",
69,"3.046","9.7252","-0.0868","-0.4411","199.9683",
70,"3.127","9.7636","-0.0628","-0.4938","199.7418",
71,"3.132","9.6965","-0.0533","-0.5369","199.8301",
72,"3.22","9.6965","-0.015","-0.398","199.9881",
73,"3.225","9.7636","-0.0389","-0.4028","200.0762",
74,"3.315","9.7971","-0.0533","-0.3932","199.9823",
75,"3.322","9.7061","-0.0389","-0.4411","200.0262",
76,"3.328","9.6726","-0.0533","-0.398","199.82",
77,"3.408","9.7061","-0.0198","-0.3166","199.8894",
78,"3.412","9.7827","-0.1012","-0.1826","199.933",
79,"3.501","9.6965","-0.1203","-0.3597","199.8841",
80,"3.509","9.754","-0.0724","-0.3549","199.9275",
81,"3.515","9.6869","-0.0724","-0.264","200.0144",
82,"3.59","9.7348","-0.1059","-0.5082","200.0394",
83,"3.592","9.7779","-0.0198","-0.4124","200.0827",
84,"3.599","9.73","-0.0868","-0.3358","199.8789",
85,"3.679","9.7923","-0.0772","-0.2879","199.9473",
86,"3.681","9.9072","-0.6327","-0.1921","199.9904",
87,"3.773","9.6774","0.0233","-0.4076","199.8989",
88,"3.779","9.7061","-0.0533","-0.2927","199.9848",
89,"3.862","9.7588","0.0664","-0.2113","200.0952",
90,"3.952","9.7013","-0.1251","-0.082","200.0465",
91,"3.958","9.6438","0.0233","0.0329","200.0891",
92,"3.965","9.5864","-0.0533","-0.0628","199.8884",
93,"4.039","9.3565","0.0617","1.1869","199.9133",
94,"4.043","9.0022","-0.4555","1.0241","199.9557",
95,"4.049","9.0357","-0.2831","1.23","200.0406",
96,"4.134","7.0294","-0.6039","1.0912","199.8658",
97,"4.138","4.3239","0.3729","0.5692","199.9081",
98,"4.145","2.2458","0.0952","0.7655","199.9926",
99,"4.151","2.5331","0.3202","2.8293","200.0349",
100,"4.224","-6.4691","3.2364","4.807","200.0591",
101,"4.232","-10.0413","-8.0978","-19.6133","199.8608",
102,"4.314","-0.9529","-0.7524","0.5453","199.6756",
103,"4.315","0.2825","0.2676","9.0543","200.0114",
104,"4.327","0.1293","0.1622","9.9545","200.0953",
105,"4.332","-0.0862","-0.0293","11.1995","199.8558",
106,"4.417","-0.1245","0.0186","9.3703","200.0058",
107,"4.419","-0.1245","-0.0772","9.7007","200.0476",
108,"4.508","-0.1149","-0.0341","9.7965","199.917",
109,"4.51","-0.0431","0.1047","9.9497","200.0002",
110,"4.519","-0.1101","-0.0533","9.9832","200.0835",
111,"4.613","-0.0192","0.0281","10.1173","199.9947",
112,"4.619","0.0431","-0.0054","9.8491","200.0776",
113,"4.72","0.2586","0.3154","9.9832","200.0718",
114,"4.814","-0.0048","0.0425","9.8252","200.025",
115,"4.897","-0.2059","-0.0533","9.9353","199.5567",
116,"4.898","-0.1245","0.1143","9.9736","200.1306",
117,"4.902","-0.0622","-0.015","10.0694","200.2126",
118,"4.98","-0.1628","0.0377","9.9593","200.0022",
119,"4.993","0.0431","0.0808","9.921","200.1246",
120,"5.075","-0.067","0.0569","9.8491","199.9561",
121,"5.083","-0.091","0.0186","10.055","200.0374",
122,"5.086","-0.0766","0.0138","10.1412","200.0781",
123,"5.165","-0.1197","0.0569","10.079","200.1824",
124,"5.17","-0.0048","0.0281","9.9976","200.2229",
125,"5.261","-0.1006","0.1239","9.9641","200.1763",
126,"5.268","0","0.0904","10.0694","200.2167",
127,"5.278","-0.0479","0.0473","9.9401","199.9861",
128,"5.287","-0.0958","0.076","9.9066","200.1071",
129,"5.368","-0.0814","0.0521","9.9689","200.13",
130,"5.373","-0.0335","0.0042","9.9928","200.2507",
131,"5.383","-0.0383","0.0186","9.9545","200.0611",
132,"5.464","-0.0958","0.009","9.8731","200.2043",
133,"5.553","-0.0862","0.076","9.9258","200.1184",
134,"5.641","-0.1006","-0.0676","10.0934","200.2605",
135,"5.727","-0.0335","-0.0245","9.9497","200.1353",
136,"5.732","-0.1484","-0.0102","9.8635","200.2145",
